,,text,mentions,choose_one,class_label,
19,1,"Thread:
How to con an honest trusting person.

1. Join Amazon as delivery guy
2. Take out orders on delivery and mark some of the prepaid items as delivered and keep it for yourself
3. Make sure you sign initials
4. And that's pretty much it
@amazon @AmazonHelp @amazonIN","[{'screen_name': 'amazon', 'name': 'Amazon.com', 'id': 20793816, 'id_str': '20793816', 'indices': [242, 249]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [250, 261]}, {'screen_name': 'amazonIN', 'name': 'Amazon.in', 'id': 1282946089, 'id_str': '1282946089', 'indices': [262, 271]}]",,2,
20,1,"Order: 171-1972147-6706719
This order is shipped &amp; now seller is making me fool by saying that we don't have enough raw material to produce this product.
The product is listed on your website at higher price tag.
Very irresponsible behavior by your customer care too.@AmazonHelp","[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [271, 282]}]",,2,
21,1,.@AmazonHelp I can’t log into my account because it’s locked but in the email it says I need to log into my account to unlock it. But I can’t #help https://t.co/ShK1wiw54t,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [1, 12]}]",,2,
22,1,Hey @AmazonHelp. You have delivered an incorrect package that doesn't belong to me. How do I contact you? Your chat button doesn't seem to work.,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [4, 15]}]",,2,
23,4,"Es hat sich mit meinem #AppleTV herausgestellt, dass mein 5 Jahre alter #Samsung TV der Verursacher der Bildfehler ist. Das Gerät berechnet die Bildschärfe wohl inkompatibel zur Box von Apple, wodurch die Bildfehler entstehen. An Einstellungen spielen hilft etwas. @AmazonHelp ...","[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [265, 276]}]",,2,
24,1,Thanks @RoyalMail for sending my parcel to the wrong depot 😡Paid more to receive #FIFA19ChampionsEdition with three days early access. @AmazonHelp dispatch it on time and then it was inexplicably sent to the wrong place 👏🏼 Well that was a waste of money,"[{'screen_name': 'RoyalMail', 'name': 'Royal Mail', 'id': 96965958, 'id_str': '96965958', 'indices': [7, 17]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [135, 146]}]",,2,
25,4,Quelqu’un a testé #Alexa en anglais ? Car en français c’est vraiment une catastrophe 🤮 quand est ce que ça ne passe plus en bêta ? @AmazonHelp,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [131, 142]}]",,2,
26,1,"For the second time in less than a week @AmazonUK have failed to deliver a parcel on time!

At least you're consistent with your piss poor service @AmazonHelp","[{'screen_name': 'AmazonUK', 'name': 'Amazon.co.uk', 'id': 209004862, 'id_str': '209004862', 'indices': [40, 49]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [147, 158]}]",,2,
27,4,"Wenn alles so problemlos funktionieren würde, wie der Kundenservice von @AmazonHelp. Habe dort angerufen und bekam sehr schnelle Hilfe und in wenigen Minuten war alles geregelt. Danke!","[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [72, 83]}]",,2,
28,4,İşte @amazon tarafından neredeyse bir hafta gibi bir sürede Istanbul’un göbeğindeki adresime @mngkargo ile ulaştırılan (!) kargonun cesameti. @AmazonHelp https://t.co/PxUcBwLfNu,"[{'screen_name': 'amazon', 'name': 'Amazon.com', 'id': 20793816, 'id_str': '20793816', 'indices': [5, 12]}, {'screen_name': 'mngkargo', 'name': 'MNG Kargo', 'id': 368223899, 'id_str': '368223899', 'indices': [93, 102]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [142, 153]}]",,2,
29,4,"Cc @AmazonHelp j'ai un problème avec une commande ""Perdu"" 👀","[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [3, 14]}]",,2,
30,2,".@AmazonHelp it seems like your ""Amazon Influencers"" pages aren't working properly. Is this something that's being worked on?","[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [1, 12]}]",,2,
31,1,"Hi @AmazonHelp your delivery service is broken &amp; your customer service has gone to dogs. Trying to get a package delivered since Saturday, everyday your representatives on chat promise it will come next day &amp; never arrived. Finally cancelled via phone. #AmazonPrimeSham","[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [3, 14]}]",,2,
32,4,Ma veramente @AmazonHelp ti dice anche a quante fermate sta l’autista?! 😱 https://t.co/CO8IItxUEc,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [13, 24]}]",,2,
33,4,Dites @AmazonHelp c'est normal que le produit fuit comme ça ? https://t.co/U9LVo5iFKG,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [6, 17]}]",,2,
34,4,Dites @AmazonHelp c'est normal que le produit fuit comme ça ? https://t.co/NiXgCDpEx8,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [6, 17]}]",,2,
35,4,"Dear @amazon @AmazonHelp , please let me know if any of your customer forgets his/her email ID and wants to retrieve his/her account which has confidential details like credit card details, address etc how he/she can do it ! Unfortunately you people don't have any policy for that","[{'screen_name': 'amazon', 'name': 'Amazon.com', 'id': 20793816, 'id_str': '20793816', 'indices': [5, 12]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [13, 24]}]",,2,
36,4,आपने क्या सोच के @VodafoneIN के साथ @PrimeVideoIN का समझोता किया एसी क्या मजबूरी थी ? @AmazonHelp,"[{'screen_name': 'VodafoneIN', 'name': 'Vodafone', 'id': 61180382, 'id_str': '61180382', 'indices': [17, 28]}, {'screen_name': 'PrimeVideoIN', 'name': 'Amazon PrimeVideo IN', 'id': 758172291754823680, 'id_str': '758172291754823680', 'indices': [36, 49]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [86, 97]}]",,2,
37,1,"Hey @AmazonHelp, I became a prime member at @amazonDE just to get my delivery one day sooner. I just learned that it will not be delivered today, despite your promises. So disappointed - thanks for nothing.","[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [4, 15]}, {'screen_name': 'amazonDE', 'name': 'Amazon.de', 'id': 3823848513, 'id_str': '3823848513', 'indices': [44, 53]}]",,2,
38,2,Hi @AmazonHelp we've received two parcels addressed to somebody who lived at our flat before us. We don't have a forwarding address - how do we return them to you to get to the right place?,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [3, 14]}]",,2,
39,1,Am I the only one that hasn’t got Fifa yet even though I pre ordered champions edition from @AmazonHelp and was supposed to come today,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [92, 103]}]",,2,
40,2,Did @Amazon quietly drop the free same or next day shipping on $35+ orders at some shipping centers? I'm not seeing the option anymore. @AmazonHelp,"[{'screen_name': 'amazon', 'name': 'Amazon.com', 'id': 20793816, 'id_str': '20793816', 'indices': [4, 11]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [136, 147]}]",,2,
41,1,"Feeling irritated with Amazon customer care. One executive said ""The order will be delivered by 28-Sept"" other one saying ""It is getting returned to seller."" pathetic experience. Atleast give proper training. @amazonIN @AmazonHelp","[{'screen_name': 'amazonIN', 'name': 'Amazon.in', 'id': 1282946089, 'id_str': '1282946089', 'indices': [209, 218]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [219, 230]}]",,2,
42,4,"Cada vez mas me estan decepcionando los plazos de entrega del reparto de @AmazonHelp... cada dia peor.. como les ha llegado a ellos a las 9 y el repartidor ya habra salido, pues tu te jodes y despues. @amazon va a subir el precio del prime 🙄🙄 https://t.co/MYUDFIrmqh","[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [73, 84]}, {'screen_name': 'amazon', 'name': 'Amazon.com', 'id': 20793816, 'id_str': '20793816', 'indices': [201, 208]}]",,2,
43,1,Seriously @amazonIN what in the blue hell is this shit ?!?!? @AmazonHelp https://t.co/s0Q5kBfB2L,"[{'screen_name': 'amazonIN', 'name': 'Amazon.in', 'id': 1282946089, 'id_str': '1282946089', 'indices': [10, 19]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [61, 72]}]",,2,
44,1,Had the day off work for Fifa 19 and @amazonhelp haven’t even posted it yet. Absolutely useless considering I have prime and paid nearly £100 for a game,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [37, 48]}]",,2,
45,1,Ordered on 15 Sep because of the ad @AmazonHelp Amazon displayed - 2 Day Delivery. Then at further drilling after the order I read at selected location. This is fraud and cheating. Almost 10 days after the shipment is further delayed. Pathetic Amazon service. #mylastamazonorder https://t.co/DCQ0u0FKZs,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [36, 47]}]",,2,
46,1,"Following @AmazonHelp delivery on my phone from 9 stops before for last 30 mins they been all over, been down my street when got to 3 deliveries went by house n out street now heading away! Still says 3 stops","[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [10, 21]}]",,2,
47,1,When you’re subscribed to @amazon Prime and suddenly can’t use your @PrimeVideo acct bcuz of your region 😡 Using a VPN also blocks access! Let’s just say my son isn’t happy @AmazonHelp what should families do when they travel?,"[{'screen_name': 'amazon', 'name': 'Amazon.com', 'id': 20793816, 'id_str': '20793816', 'indices': [26, 33]}, {'screen_name': 'PrimeVideo', 'name': 'Amazon Prime Video', 'id': 17220817, 'id_str': '17220817', 'indices': [68, 79]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [173, 184]}]",,2,
48,1,"Aaarrggghhh. Have been monitoring the progress of an @AmazonHelp delivery all day, meant to be delivered today, and it's just switched to ""sorry, there's a delay"" with no explanation. Tried calling customer service and they were (unusually) useless. Infuriating.","[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [53, 64]}]",,2,
49,1,I've ordered Fifa 19 champions edition to have 3 days early access for Amazon not to deliver on the day and is now expected to be delivered tomorrow or the 27th what was the point in me paying £20 extra @AmazonHelp,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [203, 214]}]",,2,
50,1,Dear @AmazonHelp please explain to me how I place a prime order on Tuesday morning and the second day shipping says it'll be here the following MONDAY?!?! Also Placed an order last Friday (Prime shipping) and as of today (TUESDAY) it hasn't even shipped!!!,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [5, 16]}]",,2,
51,1,If I call customer services and scream you’ll say I’m mad. This is ridiculous. AGAIN. @AmazonHelp https://t.co/M6SEwSqIX3,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [86, 97]}]",,2,
52,1,so I got hit w an overdraft fee before I can even get my refund great lol @AmazonHelp,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [74, 85]}]",,2,
53,1,"Err, @AmazonUK @AmazonHelp, was this collosal box (padded out with masses of plastic) really necessary to send this one small box of unbreakable tablets? Have you heard that you're meant to be reducing packaging? https://t.co/FZE7H2sUOy","[{'screen_name': 'AmazonUK', 'name': 'Amazon.co.uk', 'id': 209004862, 'id_str': '209004862', 'indices': [5, 14]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [15, 26]}]",,2,
54,4,"Thank you Professor Thomas Seyfried  @tnseyfried author of Cancer as a Metabolic Disease for your feedback on my book, which I hope @AmazonHelp  have now made available to anyone wanting to read it. https://t.co/YDBnSyfWlO","[{'screen_name': 'tnseyfried', 'name': 'Thomas N. Seyfried', 'id': 718307748849573889, 'id_str': '718307748849573889', 'indices': [37, 48]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [132, 143]}]",,2,
55,4,Bonjour @AmazonHelp à quand une nouvelle journée « Prime Day » comme cet Été ? À bientôt 😉,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [8, 19]}]",,2,
56,1,What a waste of packaging 🙄@AmazonHelp https://t.co/62HEMIz6Nq,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [27, 38]}]",,2,
57,4,"Auf auf zum #Apple Store in #Wien. #AppleTV umtauschen. Bildfehler ... 

#AmazonPrime Störung kommt doch vom Gerät ... O.o @AmazonHelp","[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [123, 134]}]",,2,
58,4,Una semana de retraso y cuando al fin @AmazonHelp me trae mi paquete está estropeado. Súper descontenta con el servicio. https://t.co/Z1gL77Jvqq,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [38, 49]}]",,2,
59,1,Annoyed w/Amazon @AmazonHelp how do you attempt to deliver and then lose my package?!,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [17, 28]}]",,2,
60,4,"Dis voir, @Chronopost c'est normal qu'un de tes livreurs me dit qu'un colis d'Amazon (@AmazonHelp) peut pas être déposé en relais colis ou a la poste ? Qu'il m'a pas laissé le choix de le déposer a un voisin ! Alors que bon mon voisin il a peut être d'autres trucs à faire ...","[{'screen_name': 'Chronopost', 'name': 'Chronopost', 'id': 1533485762, 'id_str': '1533485762', 'indices': [10, 21]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [86, 97]}]",,2,
61,4,"hallo @amazonhelp, warum kommt es SCHON WIEDER vor, dass ich ein buch monate im voraus bestellt habe und der liefertermin trotzdem erst 10 tage nach erscheinungsdatum liegt?","[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [6, 17]}]",,2,
62,4,Hey @AmazonHelp vous pensez que je serais livrée aujourd'hui ? https://t.co/oAfwwoukWZ,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [4, 15]}]",,2,
63,1,"Why is @amazon delivery so messed up? They really need to look up what home delivery means. #Amazon 
@AmazonHelp","[{'screen_name': 'amazon', 'name': 'Amazon.com', 'id': 20793816, 'id_str': '20793816', 'indices': [7, 14]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [101, 112]}]",,2,
64,1,Hey .@AmazonHelp is ignoring your customers' emails your way of replying to queries? Because I'm still waiting,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [5, 16]}]",,2,
65,1,"Thanks for the Poor and third class service @amazonIN 
Ordered a product 2 months back and haven’t received yet. 
Order  number 404-8239989-1808363.
After several mails and refund requests I’m still on the same page .
@amazon @AmazonHelp 
@consumercourtin","[{'screen_name': 'amazonIN', 'name': 'Amazon.in', 'id': 1282946089, 'id_str': '1282946089', 'indices': [44, 53]}, {'screen_name': 'amazon', 'name': 'Amazon.com', 'id': 20793816, 'id_str': '20793816', 'indices': [218, 225]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [226, 237]}, {'screen_name': 'consumercourtin', 'name': 'Consumer Court India', 'id': 3248383818, 'id_str': '3248383818', 'indices': [239, 255]}]",,2,
66,4,"Ein EchoDot der 1. Generation, der ständig die Internet-Verbindung verliert, soll das so @AmazonHelp ? Ja, er steht nah dran und frei, alle Geräte wurden mehrfach durchgestartet, es bleibt einfach sch...lecht.","[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [89, 100]}]",,2,
67,4,"Hey @AmazonHelp, ich brauche Kontakt zu einem bestimmten Mitarbeiter bei euch in der technischen Abteilung, ist das irgendwie möglich?","[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [4, 15]}]",,2,
68,1,How can restricting purchases of my book 'lower prices and improve availablity'? This is nonsense. Fix this immediately please @AmazonHelp https://t.co/yPXQWZtXKr,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [127, 138]}]",,2,
69,1,I have problem in my Bluetooth earphones order from Amazon I have talk to company but they are telling me to deliver at their address with long procedures as I am studying in 12th class and leaving far away from parents so Amazon can u help me @amazonIN @AmazonHelp @amazon,"[{'screen_name': 'amazonIN', 'name': 'Amazon.in', 'id': 1282946089, 'id_str': '1282946089', 'indices': [244, 253]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [254, 265]}, {'screen_name': 'amazon', 'name': 'Amazon.com', 'id': 20793816, 'id_str': '20793816', 'indices': [266, 273]}]",,2,
70,1,"can someone PLEASE explain the price difference to me? the exact same shirt = $15.99 on https://t.co/ja4BuDH5JZ and $67 on https://t.co/USfsY7eZbF??? this happens with sooo many products, &amp; a lot of times the products on https://t.co/ja4BuDH5JZ won’t ship to Canada 😑 @AmazonHelp https://t.co/WFoE0FMi7T","[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [272, 283]}]",,2,
71,4,"Almanya’da çalışmakta olan @amazon @AmazonHelp tarafından arandım ve sabah 10:00 civarında siparişim adrese teslim edildi. İddiaya göre hata @mngkargo ‘nun... Ama bu Amazon ile kargo şirketi arasında bir sorun. Ha, bir de 25 TL’lik hediye çeki ile “telafi” yoluna gidilmiş. https://t.co/ZwX0PvGgA7","[{'screen_name': 'amazon', 'name': 'Amazon.com', 'id': 20793816, 'id_str': '20793816', 'indices': [27, 34]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [35, 46]}, {'screen_name': 'mngkargo', 'name': 'MNG Kargo', 'id': 368223899, 'id_str': '368223899', 'indices': [141, 150]}]",,2,
72,1,I live in a cando @AmazonHelp !! WTF does it mean Business Closed due to holiday even means!! Please ship my stuff with professionals like USPS or UPS than kids driving Uhaul. https://t.co/LQNQW61xxr,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [18, 29]}]",,2,
73,2,"Hey  @AmazonHelp,
I have a concern to share. Find additional info in dm by @SpeakUp_IN, reference id: 1t061.
#SpeakUp","[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [5, 16]}, {'screen_name': 'SpeakUp_IN', 'name': 'SpeakUp', 'id': 803555957733109760, 'id_str': '803555957733109760', 'indices': [75, 86]}]",,2,
74,4,Je me demande depuis quand une boîte au lettre peux signé. @AmazonHelp @AmazonNewsFR #maboiteaulettreadesmains https://t.co/tQUNIkECSa,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [59, 70]}, {'screen_name': 'AmazonNewsFR', 'name': 'AmazonNewsFR', 'id': 3823924421, 'id_str': '3823924421', 'indices': [71, 84]}]",,2,
75,4,#Amazon addict  :o @AmazonHelp https://t.co/1LJv44gX3M,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [19, 30]}]",,2,
